index  pupil(a)  pupil(b)  pupil(cx)  pupil(cy)  pupil(theta)  cr(cx)  cr(cy)  cr(r)  scene(x)  scene(y)
  629     15.85     11.79      59.12      42.88          0.07   37.82   42.69   16.0   -166.45    711.89
  630     15.91     12.93      62.23      31.46         -0.67   48.75   48.00    5.0    -19.08    217.66
  631      5.56      5.14      54.55      28.26          1.12   72.40   42.40    6.0    -12.16    325.20
  632     13.13     10.93      61.14      32.68         -0.94   55.67   16.81   11.0    513.26   2337.70
  633     10.74     10.65      48.05      34.02         -1.27   70.59   40.00   14.0   -108.11    134.55
  634     15.26     10.59      63.96      29.01         -0.66   40.50   44.00   12.0   -243.09    268.00
  635     10.57      9.61      63.46      36.44          0.81   75.20   22.40    7.0    447.93   1604.79
  636      9.86      7.34      62.28      37.06         -1.29   74.10   25.20   12.0    369.58   1288.97
  637     12.62     11.96      56.47      37.68          0.94   58.00   49.00    8.0     64.82     25.66
  638     11.48      7.76      57.49      36.90          0.14   55.25   49.12    8.0     56.66     41.90
  639      9.90      7.96      58.46      35.00          1.52   55.00   49.00    8.0     63.41     95.57
  640      8.06      6.39      57.44      37.93          1.09   68.43   24.14    6.0    444.06   1578.61
  641     11.66     10.00      53.91      31.53          0.98   67.05   46.26   10.0     47.67    275.76
  642     10.01      7.14      61.48      37.53          0.97   42.62   41.25    6.0   -155.34    367.94
  643     13.49     11.55      48.32      30.50          1.68   70.47   44.83   15.0    -77.59    431.24
  644     10.44     12.58      66.40      33.47          0.52   42.64   42.73    5.0   -286.69    269.19
  645     10.91      8.76      52.85      40.16          1.26   73.93   44.60    6.0    -74.41    115.17
  646      9.41      8.99      45.50      39.48          0.74   63.00   28.33   15.0    285.71   1132.84
  647     11.52     10.01      51.24      31.92          0.78   35.68   49.53    9.0    -38.49    278.50
  648      4.49      4.98      62.02      31.00          0.12   40.17   42.83   10.0   -230.32    206.15
  649      6.74      5.66      53.11      40.03          1.29   72.64   27.64    7.0    299.33   1277.95
  650      8.14      5.93      47.26      40.65          0.28   63.10   29.40    9.0    309.92   1161.36
  651     12.28     10.51      46.07      35.52         -0.57   58.60   52.20    3.0     76.54    394.77
  652      9.18      6.92      53.66      42.03         -0.07   39.51   45.63   11.0    -66.26    271.97
  653     14.88     13.96      58.69      33.02         -0.85   45.57   49.46   11.0    -14.73    211.06
  654      9.44      9.55      57.79      34.18          0.92   69.56   43.39    6.0     26.86     42.80
  655      8.64      7.35      57.89      26.07          0.40   68.41   43.10    9.0     96.89    386.12
  656     13.81     11.70      47.49      32.02         -0.20   68.64   32.78   10.0    -39.65    190.45
  657      7.51      9.29      46.57      38.00         -1.18   35.00   43.50    2.0    -38.84    145.65
  658      8.42      7.17      49.11      40.88         -0.79   57.33   26.17    8.0    494.83   1773.08
  659     11.84      9.02      51.91      38.06         -0.06   59.00   53.00    9.0     88.28    203.88
  660     16.61     15.20      68.28      38.39          0.08   43.70   46.58   14.0   -308.58    314.40
  661     10.96      9.57      59.03      31.65         -0.06   73.72   46.45    9.0     32.85    306.20
  662      9.84      7.48      56.70      37.50         -0.56   68.57   23.04    8.0    462.78   1667.27
  663     12.01     10.57      61.89      31.50         -0.53   46.78   48.72    6.0    -36.46    257.39
  664      8.25      7.63      54.72      34.10          0.20   71.11   37.05   29.0      5.11     93.89
  665     11.79      9.78      58.53      27.29          1.47   63.16   42.08   16.0     92.42    170.72
  666      7.11      6.15      62.12      29.12          0.98   70.50   19.00    7.0    334.47   1107.95
  667     10.67      8.77      69.67      28.93         -0.70   72.57   18.14    9.0    366.82   1293.67
  668     14.77     14.59      55.96      47.81         -0.38   79.61   37.87   10.0    148.85    964.00
  669     15.38     13.25      62.44      29.81         -0.38   56.42   56.98   22.0    311.22   1174.57
  670     21.08     14.32      52.77      32.02          0.43   72.75   27.15   11.0     78.06    494.20
  671     10.46      8.47      56.45      38.06          0.28   61.18   20.41   12.0    625.16   2364.45
  672     11.05     10.05      58.89      37.06          0.77   55.33   49.67    9.0     51.47     51.95
  673     11.26      7.15      51.85      39.01          0.01   66.64   46.00    6.0      0.03     45.28
  674      5.74      5.18      51.31      40.09          1.34   59.37   27.87   13.0    404.67   1397.58
  675     10.88      8.37      51.44      34.52         -1.04   53.97   50.31    8.0    104.28    206.15
  676     13.79      6.30      61.21      36.54         -0.08   42.82   44.33   17.0   -163.43    193.50
  677     15.97     12.47      58.53      34.63          1.13   71.02   45.78   10.0     26.44     99.86
  678     10.38     10.27      46.63      34.53          1.73   69.00   43.63   13.0   -109.91    186.03
  679     11.26     12.92      57.52      32.43         -0.04   36.93   44.83   10.0   -197.64    187.14
  680      9.52      7.67      59.12      39.06          0.67   64.00   20.50   13.0    665.42   2533.82
  681      8.24      7.19      55.90      48.99         -0.74   68.35   28.97    9.0    695.94   2630.38
  682     13.91     11.99      61.89      28.94         -1.07   65.33   59.56   14.0    469.62   1865.63
  683     11.82     11.25      51.48      35.99          1.22   73.75   39.00    5.0    -83.55    145.45
  684     11.69     10.69      48.74      33.01          0.34   62.50   47.50    4.0     39.15    271.48
  685     12.13     15.18      61.17      37.11         -0.45   40.22   42.48   11.0   -211.77    333.61
  686      9.03      7.49      64.55      38.68         -0.36   67.95   28.59   14.0    344.89   1188.67
  687     13.85     10.31      59.05      33.20         -0.18   75.22   47.28   11.0      8.78    289.32
  688     12.29      9.07      51.42      31.59          1.81   67.78   42.86    9.0    -13.17    157.26
  689     10.46      7.99      57.93      38.43          0.78   53.89   20.49   14.0    611.87   2685.70
  690     11.50      8.41      60.04      33.40         -1.26   66.54   45.74   18.0     67.59     80.93
  691     11.64      9.21      62.98      34.35          0.72   50.43   43.65    7.0    -59.30     78.21
  692     11.94     10.88      54.33      33.10         -0.89   74.43   45.00    4.0    -62.11    248.83
  693     12.87     11.41      46.90      33.11         -0.14   62.01   41.59   17.0     -5.33     64.67
  694     10.83      8.41      38.25      38.13         -0.32   51.60   23.47   17.0    457.74   1674.46
  695     11.09      8.77      50.33      39.86         -1.07   37.50   47.68   12.0    -64.01    101.72
  696     13.79     11.64      59.91      32.46         -1.02   41.60   48.67    9.0   -110.91    239.34
  697      8.19      7.14      44.25      37.50         -0.39   71.36   41.71    6.0   -190.21    204.38
  698      9.28      7.56      42.61      36.70          0.01   32.89   47.37    7.0    -16.98     47.96
  699      7.27      6.78      58.02      37.56         -1.07   41.57   44.50   19.0   -124.00    180.96
  700      7.76      6.73      61.68      35.73          0.89   46.25   49.25    7.0    -85.11    135.40
  701     11.58      9.75      53.34      44.35         -0.99   70.71   27.71    9.0    491.79   1930.29
  702     12.00     10.64      52.49      41.89         -0.96   62.56   55.11    7.0     57.50    152.43
  703      9.82      8.56      51.61      37.50          0.77   42.23   50.23   15.0     -1.63     72.54
  704     12.12     10.21      58.06      30.45         -1.14   44.27   46.82    7.0    -26.27    211.52
  705     11.10     11.99      50.48      41.04          0.39   69.78   26.44    5.0    383.35   1588.18
  706      9.37      8.93      50.62      41.96         -0.02   59.39   30.17   17.0    386.51   1324.09
  707     13.74     10.73      65.05      29.39         -0.99   49.56   47.81    6.0    -24.33    321.05
  708      5.32      5.73      58.04      30.55          1.66   73.79   22.57   17.0    212.55    784.59
  709     13.73     12.35      55.11      43.17          1.12   66.47   20.20   12.0    851.49   3265.52
  710     17.94     12.98      59.01      40.11          0.53   46.52   51.21   10.0    -53.01     75.36
  711     13.54     13.74      53.98      34.05          1.00   63.28   47.37   24.0     62.83    147.76
  712     16.29     13.00      62.81      39.99         -1.16   59.12   28.75   20.0    357.62   1513.69
  713     12.21     15.22      59.26      29.96          0.84   71.98   49.52   10.0    121.29    641.20
  714     14.52     10.84      66.98      32.19         -1.47   68.81   40.67    6.0     58.30     -8.27
  715     11.66     10.86      69.29      31.26          0.47   78.50   44.00    4.0     58.86    121.52
  716      5.43      4.77      68.47      33.92         -0.06   78.80   24.40    3.0    305.39   1006.85
  717     11.32     10.44      49.44      32.86         -0.61   78.37   38.50   24.0   -240.75    244.64
  718     11.74     12.13      63.09      31.20         -0.17   40.85   41.81   13.0   -245.41    218.30
  719     10.37      8.60      57.60      35.33          1.02   72.86   22.21   16.0    380.70   1418.84
  720     11.00      8.30      51.17      34.56         -0.56   67.20   43.38   12.0    -15.64     81.45
  721      9.33      8.59      71.99      31.51         -1.15   46.45   36.72   29.0   -326.24    460.08
  722     15.27     11.99      68.17      46.35          1.50   83.80   34.70    5.0    325.46   1214.23
  723     13.20     10.00      64.05      33.90         -0.43   80.00   48.50    7.0     16.67    316.75
  724      8.89      7.59      62.52      29.61          0.78   75.18   42.27    8.0     33.75    160.47
  725      4.97      7.96      62.32      27.53          0.57   73.38   18.38    5.0    289.86    955.52
  726      6.86      5.68      63.14      30.04         -1.16   73.00   19.15    5.0    350.72   1185.13
  727      8.77      7.24      64.29      37.82          1.50   74.86   24.14    5.0    442.60   1567.79
  728     10.72      9.00      69.50      29.79         -1.54   74.11   47.81   13.0    135.42    373.97
  729     10.06      7.48      64.06      29.00          0.71   81.00   21.50   14.0    185.02    729.24
  730      8.76      8.24      50.17      41.52         -0.26   74.83   18.50    9.0    672.45   3003.36
  731     11.27      9.29      46.49      44.08         -0.16   38.43   52.71    4.0     -2.12     36.60
  732     12.26     10.08      64.40      36.50          0.75   44.49   51.47   12.0   -159.76    218.26
  733     12.99      7.74      56.89      38.43         -0.24   75.40   48.40    4.0    -46.37    145.90
  734     12.77      9.10      57.93      38.34         -0.02   68.25   26.25    4.0    388.07   1342.29
  735     11.00      9.92      52.98      33.52          0.53   67.14   46.38   15.0     20.92    190.92
  736      9.51      8.19      67.93      43.56          1.17   42.82   44.32   16.0   -274.49    749.99
  737      7.44      8.59      71.55      44.69          0.81   79.12   49.50    7.0     62.15     23.94
  738     14.74      9.75      53.32      51.77         -0.24   80.34   50.92   13.0   -131.07    306.65
  739     17.99     14.69      54.57      41.89          1.17   63.00   63.75    5.0    197.57    784.75
  740     14.22     11.43      48.03      39.32          0.12   66.62   47.38    5.0    -49.33    101.36
  741     14.01     10.86      56.59      33.04         -1.27   37.33   49.67    9.0   -124.97    264.19
  742     10.66      8.01      65.48      40.95         -0.87   57.41   25.72   19.0    462.96   2309.84
  743     11.45     13.63      64.17      32.18          0.06   73.63   51.43    9.0    139.36    548.15
  744     11.36      5.66      61.41      32.91          0.34   76.00   39.00    8.0      4.98     42.05
  745     15.17     12.44      60.55      30.39         -1.51   70.70   43.75    6.0     58.00    159.44
  746     15.53     12.81      53.54      29.53         -0.79   72.09   40.73   10.0    -42.58    189.97
  747     10.70     11.86      47.89      34.60          1.18   63.92   41.31    6.0    -13.27     56.11
  748     13.06     10.92      55.90      32.99         -0.64   37.00   46.00    7.0   -156.27    167.96
  749     13.03     11.09      59.21      32.99          0.53   65.92   43.08    7.0     56.54     21.59
  750      9.15      7.60      62.23      38.60          0.03   66.50   21.00    4.0    623.60   2367.90
  751     12.22     10.92      48.73      32.72          0.32   71.38   44.17   10.0   -107.67    279.36
  752      7.66      6.03      54.63      31.03         -0.64   39.68   38.67   14.0    -98.29    137.18
  753      4.32      3.45      51.24      33.40         -0.80   52.50   19.00    8.0    490.99   1880.77
  754     11.81     10.92      50.24      32.93          1.34   61.30   41.50    7.0     31.72     27.00
  755      5.00      3.89      51.80      36.98         -0.95   42.27   38.69   17.0     18.33    291.58
  756     10.38      9.50      51.57      33.94          0.48   63.67   48.67    5.0     56.59    258.41
  757     15.00     10.73      65.48      32.01         -0.46   41.90   40.90   11.0   -282.59    273.39
  758     11.99      9.54      61.99      37.72         -0.12   70.17   22.26   15.0    524.49   1897.11
  759      8.75      7.02      53.55      40.78         -1.17   72.19   27.57    8.0    341.06   1395.24
  760     10.04      8.85      51.78      38.52          0.57   65.69   48.85    3.0     10.21     91.73
  761      8.84      7.05      48.35      41.18         -1.60   59.19   28.56   13.0    402.61   1407.73
  762      6.78      4.51      52.22      42.03         -0.28   39.00   47.61    8.0    -63.80    168.99
  763      8.36      7.41      49.41      43.20         -0.59   57.88   31.51   14.0    384.79   1315.88
  764     17.60     12.60      58.10      36.90         -1.75   46.44   49.60    9.0    -31.57     86.84
  765     10.07      7.74      51.91      40.13          0.71   69.56   47.22    4.0    -34.67     76.51
  766      9.95      8.45      52.06      36.93          1.22   51.33   51.67    9.0     84.79    132.92
  767     10.92      8.51      46.85      38.97         -0.29   62.86   44.38   20.0     -7.83     56.49
  768      7.70      5.71      52.51      37.45          1.08   37.43   47.98    9.0    -97.12    103.99
  769     11.38      8.53      66.57      36.45          0.82   44.84   41.46   18.0   -227.89    369.34
  770      6.18      6.13      69.42      36.39          0.42   78.25   25.62    5.0    352.53   1184.44
  771     16.45     13.23      60.44      31.32         -0.03   78.12   40.76   13.0    -35.83    117.92
  772     11.32     10.70      60.89      28.41         -1.15   70.11   26.45   10.0    133.50    309.07
  773      7.30      5.60      59.72      31.05          0.23   71.62   21.00    9.0    310.47   1053.46
  774      5.46      5.41      68.52      32.48          1.55   71.29   20.00   15.0    423.45   1541.56
  775     16.20     15.41      59.43      31.93          0.58   77.87   37.88   14.0    -41.88     79.93
  776     12.99      9.65      48.00      36.43         -0.43   70.29   41.71   11.0   -100.23    128.42
  777     13.64     13.15      63.01      47.31         -0.21   40.82   44.91   15.0   -151.81    951.28
  778     15.95     11.72      54.77      44.40         -0.29   72.95   54.59   12.0    -41.01    147.66
  779     10.75      9.95      58.95      39.80         -1.48   65.33   55.83    4.0    103.31    259.29
  780      8.75      7.62      58.63      37.47          0.65   70.33   28.67    9.0    274.85    907.88
  781     14.66     11.45      52.99      43.05         -0.93   68.00   46.00    5.0     21.07     85.82
  782     10.13      8.04      67.82      40.16         -1.49   46.74   45.66   16.0   -215.20    330.98
  783     10.05      8.73      63.00      44.36         -0.44   79.55   49.73    7.0    -14.11     61.49
  784     11.33      9.79      63.56      38.28         -0.36   57.81   51.62    6.0     40.47     74.64
  785     12.62     11.82      54.64      33.04          0.59   71.68   43.44   22.0    -25.20    137.02
  786      8.85      8.14      49.61      40.97         -1.61   56.99   28.74   20.0    407.62   1410.59
  787     10.61      9.07      66.61      43.96          0.61   42.58   49.03   19.0   -285.22    425.93
  788     12.19      9.71      64.00      38.45         -0.42   77.88   47.35    7.0      7.78     58.22
  789      8.65      8.04      62.31      39.67          0.69   73.22   27.78   18.0    377.27   1305.64
  790     13.87     16.44      57.84      30.21          1.33   50.33   50.50   11.0    121.41    445.22
  791     13.88     11.01      62.71      31.12         -1.18   63.20   38.40    7.0     56.59     -2.15
  792     16.57     12.74      55.68      32.48         -0.63   74.67   42.67    5.0    -52.62    160.50
  793     15.50     11.66      59.11      32.66         -0.01   44.33   42.83    5.0    -93.15    101.10
  794     12.19     10.52      58.17      36.26          0.26   70.67   21.33   12.0    475.38   1728.94
  795     10.54      8.93      60.21      37.23          0.70   56.57   47.71    9.0     39.78     13.09
  796     12.80      9.17      52.31      33.63         -1.11   67.00   47.50    5.0     23.81    251.68
  797      6.96      5.50      48.98      37.90          0.18   40.25   45.25    5.0     -8.77     59.84
  798      5.51      4.68      44.51      39.51         -0.97   56.50   27.50    7.0    373.15   1306.51
  799     14.70     15.19      53.09      42.49          0.46   36.25   47.58   17.0   -124.07    255.91
  800     10.80      8.48      67.85      41.58          1.73   46.80   47.62   14.0   -216.96    306.72
  801      9.68     11.49      56.48      45.34         -0.49   79.42   51.92   11.0   -117.40    145.70
  802     12.96      9.91      52.39      38.84         -0.56   62.20   55.33   12.0     94.00    336.32
  803      9.22      6.15      65.45      40.05         -1.02   43.26   48.52   14.0   -248.26    252.79
  804      7.46      6.94      66.04      38.08         -0.24   76.62   48.62    9.0     38.75     61.44
  805     10.77      8.81      58.87      37.47          0.98   76.80   48.20    7.0    -35.85    161.95
  806     10.17      9.27      62.76      43.76          0.33   64.77   27.38   17.0    570.71   2203.12
  807     10.74      9.89      59.88      37.55         -0.56   75.00   46.00    8.0     -5.31     64.00
  808     11.73     10.78      56.06      36.98         -0.16   71.25   26.25    7.0    300.48   1102.17
  809      8.93      7.41      51.70      37.88         -1.55   61.85   26.35   18.0    370.24   1267.75
  810      6.12      8.53      61.77      40.11          0.15   40.50   50.00    5.0   -224.78    207.76
  811     12.38     10.77      52.65      36.75         -0.40   72.90   49.65    8.0    -58.03    302.79
  812     14.80     11.44      64.90      30.38          1.57   45.04   45.54   14.0   -156.43    222.79
  813     10.06      8.31      60.25      27.92          0.46   77.00   19.00   14.0    226.96    878.13
  814     14.37     10.41      56.38      25.18         -0.24   71.75   39.25    1.0     18.22    274.72
  815     15.83     12.26      44.84      31.98         -0.61   67.60   17.50   12.0    321.68   1541.47
  816      6.97      4.63      43.92      37.99         -1.43   51.93   20.83   18.0    594.83   2192.70
  817      9.36      7.65      53.79      36.81         -0.84   39.93   46.83   12.0    -78.29     90.02
  818      6.69      5.05      45.57      30.96          0.62   62.52   46.30   25.0     12.22    384.06
  819      8.50      7.29      47.62      32.03          0.56   34.97   38.66    8.0    -59.11    127.09
  820     15.20      8.90      53.11      35.41         -0.72   53.36   21.83   18.0    457.76   1772.12
  821     13.31     11.89      55.53      30.64         -1.25   41.33   46.67    5.0    -37.42    199.96
  822      8.84      7.19      40.17      35.97         -0.11   57.75   23.28   14.0    337.30   1334.47
  823     15.97     11.63      44.87      33.69         -0.29   28.25   27.00   12.0     60.28   1267.13
  824     11.71      9.28      49.82      28.05         -0.81   34.90   44.48   20.0    -44.26    220.87
  825      6.77      5.96      48.66      31.05         -1.15   56.52   19.79   15.0    372.97   1265.85
  826      9.55      5.60      61.79      37.98         -1.08   40.35   40.57   16.0   -202.82    503.21
  827      9.60      8.24      59.44      35.79          0.76   71.88   48.42    4.0     35.49    156.00
  828      8.39      8.03      58.65      38.48          0.70   70.60   47.20    7.0     24.96     36.49
  829     12.92     10.61      58.82      26.11          0.23   66.08   46.02   21.0    162.14    570.07
  830      6.74      3.62      67.27      28.06         -0.15   47.00   35.50    5.0   -203.13    240.24
  831     13.41     10.49      56.88      33.50         -0.84   75.95   35.77   12.0    -24.42    129.32
  832     11.69     11.36      58.46      33.62          0.01   68.31   44.00    7.0     42.93     50.57
  833     13.00     10.53      53.50      37.07          0.67   67.33   44.33    7.0      9.23     38.07
  834     14.61     11.77      58.30      35.10         -0.88   54.00   49.00    9.0     56.80     91.51
  835     12.67     12.05      54.17      36.15          1.36   68.46   41.96   10.0      9.32     40.46
  836      6.41      5.58      71.71      37.46          1.38   46.37   41.42   14.0   -312.93    524.80
  837     14.48     15.40      52.66      29.48          0.29   82.75   40.08   15.0   -272.33    417.81
  838     16.32     13.35      47.95      34.62         -0.49   54.00   17.08    5.0    617.76   2309.04
  839     21.00     24.41      28.86      32.79         -1.09   43.41   37.93   35.0      9.82     46.76
  840     13.19     10.67      43.31      29.22          0.75   17.83   41.17    5.0   -321.88    274.75
  841      8.18      6.38      55.01      42.15         -0.52   39.75   40.58    5.0    -21.77    663.94
  842     16.69     15.24      55.13      32.47         -0.92   57.50   54.00    4.0    202.16    647.15
  843      7.01      6.80      59.66      29.04          0.33   49.00   20.00    8.0    219.91   1395.48
  844      6.84      6.75      59.16      34.63         -0.78   54.50   17.00    9.0    593.56   2644.96
  845     11.92     12.36      62.56      32.44          0.61   50.04   46.00    8.0    -37.27    111.02
  846     12.16     11.02      55.00      34.13         -0.71   75.00   38.50    3.0    -56.54    103.12
  847     10.50      7.99      56.52      39.30          0.05   65.32   23.95    8.0    516.75   1864.28
  848     13.04     10.30      62.25      31.03         -1.30   47.53   49.12    8.0    -16.31    299.68
  849     17.02     13.13      55.90      27.02         -0.39   71.40   24.90   13.0     83.52    303.10
  850     10.32      9.07      60.70      25.51          0.40   44.40   15.80    4.0    149.62   1679.16
  851     10.64     10.08      50.69      37.41         -0.27   72.12   24.72   18.0    279.23   1303.69
  852     10.67      9.12      60.47      37.67         -1.35   40.23   46.12    7.0   -203.27    213.38
  853     13.25     11.45      60.03      27.41          0.59   66.95   45.91   19.0    138.04    443.15
  854      8.57      8.95      56.39      28.95         -0.01   69.74   18.00   13.0    326.08   1148.69
  855      8.40      7.50      60.23      26.59         -1.08   44.00   19.50    9.0     77.60   1306.19
  856     13.23     14.88      54.64      30.86          0.31   71.21   17.21    8.0    384.73   1479.27
  857     16.28     18.82      55.09      34.03         -0.77   67.00   27.00    5.0    224.84    715.24
  858     11.32      9.64      69.15      35.63         -1.33   46.37   36.30   32.0   -213.46    684.59
  859     10.42     10.70      56.38      41.01          0.33   76.06   45.39    9.0    -51.57     99.57
  860     10.82     12.03      59.07      37.64         -1.30   51.92   46.55   19.0      7.41     27.36
  861      8.01      7.17      66.95      38.36          1.37   50.60   46.49   12.0   -123.67    149.19
  862     17.79     12.19      50.75      37.97          1.55   73.91   42.16   23.0   -109.37    143.69
  863      9.10      8.42      51.05      27.44          1.17   62.67   49.67    5.0    185.86    894.21
  864      7.74      5.14      59.41      32.03          0.39   57.50   19.00    9.0    429.41   1742.53
  865      8.85      7.44      45.59      40.49          0.71   70.43   43.00    4.0   -127.51    185.84
  866     22.13     20.90      40.97      36.51         -0.53   38.87   46.61   17.0     47.65      5.50
  867     11.55      6.52      64.28      36.57          0.00   43.90   46.80   19.0   -203.42    187.34
  868      7.56      6.69      66.51      37.37         -0.71   54.09   47.59    8.0    -55.38     72.77
  869     10.48      7.97      61.28      37.95         -0.53   78.67   46.17    7.0    -32.76     87.86
  870      6.26      5.78      57.86      40.92          0.16   70.71   29.00   10.0    362.78   1282.43
  871     15.55     12.03      54.15      35.58          1.66   67.29   52.50    6.0     74.58    424.21
  872      9.99      6.85      53.05      29.95          0.77   64.29   44.88   12.0     65.49    258.03
  873      6.89      7.94      59.77      28.04          0.32   55.00   18.00    8.0    311.61   1368.33
  874     10.94      8.43      61.23      38.06         -1.15   66.03   21.61   17.0    574.39   2145.28
  875     15.88     11.92      54.56      37.07          0.72   70.32   43.25   11.0     -8.39     52.31
  876      8.45      6.63      50.14      41.50         -1.58   66.56   26.78   15.0    426.96   1639.63
  877     12.17      9.39      54.00      32.53         -0.85   39.80   51.04    8.0     -0.78    320.82
  878     12.15      7.09      66.61      29.30         -0.14   42.93   40.50    8.0   -278.59    241.83
  879      8.93      9.40      68.58      29.31         -1.49   77.48   37.76    7.0     45.16     10.93
  880     12.04     11.69      55.20      39.15          0.70   80.19   29.56    7.0    111.47    924.77
  881      6.81      5.67      49.64      41.52          0.70   61.74   29.31   14.0    379.22   1332.93
  882     11.33      8.95      64.90      38.28         -0.07   47.36   45.29   15.0   -145.06    199.04
  883     13.48     10.78      48.03      33.23          0.67   72.82   46.35   13.0   -138.19    418.79
  884     12.64     10.23      65.78      42.35          0.57   39.62   41.64   16.0   -282.58    917.08
  885     11.40      8.82      65.60      38.26         -0.27   76.49   49.65    9.0     40.19     89.71
  886     14.44     13.15      57.53      32.44          1.24   77.22   36.11    5.0    -46.47    107.70
  887      8.61      6.56      69.34      25.33         -0.26   69.22   42.89    5.0    123.28    293.11
  888     16.34     11.87      56.77      45.22         -0.22   79.18   36.36    6.0    138.99    849.79
  889      8.27      7.25      43.36      44.93         -0.62   68.04   53.64    8.0   -153.84    219.09
  890     10.99      7.94      56.04      38.19          0.20   36.68   50.47    7.0   -171.11    167.53
  891      6.73      5.62      55.44      32.64         -0.06   44.88   47.88    8.0      6.84    151.13
  892      7.68      7.10      59.27      27.82          0.17   45.19   42.32    8.0    -52.96    147.40
  893     16.81     15.84      60.00      41.26          0.47   64.62   20.75   16.0    756.38   2930.47
  894     10.33      9.86      50.11      35.96          0.21   69.69   48.07   12.0    -52.86    249.24
  895      8.00      6.26      55.37      36.06          1.19   60.80   47.80    5.0     66.59     53.86
  896      7.99      6.81      55.31      37.89          0.98   43.56   46.56    9.0    -48.38     74.93
  897      7.31     11.65      63.72      36.66         -0.05   44.78   45.87   10.0   -174.49    174.51
  898     10.02      7.98      61.03      36.58         -0.41   76.00   47.00    8.0     -0.45    108.04
  899     10.25      8.27      59.38      37.89          0.95   72.29   25.86    6.0    366.14   1297.23
  900     16.18     11.86      53.55      31.39          0.52   68.75   45.25    4.0     18.11    259.86
  901     11.38     11.22      66.43      34.52         -0.15   43.80   38.13    6.0   -240.33    469.99
  902      8.78     10.47      59.82      39.87         -1.46   77.80   26.40    5.0    359.89   1438.40
  903      5.95      4.96      59.35      45.19          0.01   65.60   29.72   19.0    531.52   1940.16
  904     11.83      9.48      63.03      39.51         -0.00   47.40   56.20    4.0    -53.23    236.79
  905     12.68     12.11      57.21      34.59         -0.33   73.68   48.58    7.0      4.36    289.58
  906     12.48      9.80      66.08      38.95         -0.58   68.00   25.64   20.0    451.74   1687.98
  907     14.09     11.85      69.12      36.78          0.97   76.68   47.26    7.0     54.71     35.00
  908     13.45     13.75      53.71      34.06          0.37   80.38   40.75   21.0   -192.91    213.47
  909      9.42     11.04      47.92      35.59          0.90   64.95   43.29    8.0    -27.66     75.65
  910     15.90     12.90      54.92      34.16          0.13   51.00   47.50    7.0     54.60     73.07
  911     10.68      7.94      52.59      35.51         -1.20   64.90   22.40    9.0    409.10   1457.36
  912     12.29      9.31      57.82      42.62         -0.53   62.75   28.03    9.0    499.97   1824.75
  913      8.59      8.69      64.15      39.94          0.78   47.73   51.37   10.0   -117.30    122.25
  914      8.39      6.63      67.16      37.87         -1.37   73.43   28.57   19.0    317.42   1037.78
  915     16.58     13.86      56.47      34.66         -0.30   77.12   46.77    8.0    -69.67    269.98
  916     12.34      7.26      48.64      37.69          0.00   67.21   45.00    6.0    -47.98     90.37
  917     13.50     11.03      61.81      32.49          1.43   40.46   46.20   15.0   -204.61    212.42
  918     16.22     12.95      52.04      37.15          1.08   72.66   37.98    5.0    -31.79    183.49
  919     10.77      8.09      49.85      27.62         -0.21   62.56   48.44    5.0    146.25    766.96
  920     10.89      9.32      50.35      45.22         -0.61   60.35   28.94    9.0    547.94   1997.37
  921      8.37      6.15      53.44      36.62         -1.36   40.36   53.83   11.0     -3.39    247.05
  922     13.84     11.21      50.55      32.20          1.35   64.43   48.00    4.0     52.61    356.66
  923     14.23     10.39      61.63      40.50         -0.01   40.96   42.29    9.0   -176.76    536.57
  924     11.69      6.81      61.77      37.09         -0.06   71.60   51.70    5.0     71.66    219.43
  925     11.83      7.34      52.92      42.11         -0.25   71.40   30.11   14.0    301.00   1234.14
  926     10.80     10.22      52.35      36.93         -1.33   53.00   52.00    8.0     92.74    155.18
  927     10.88      8.73      64.61      35.86         -1.27   43.74   44.89   17.0   -217.18    213.81
  928     13.97     10.49      54.34      37.99          0.59   76.09   46.64    8.0    -99.21    162.78
  929      9.09      8.10      57.35      36.73         -1.03   64.64   48.64    4.0     62.33     72.73
  930      8.07      8.46      50.12      41.50         -0.12   65.67   27.59   17.0    406.65   1530.36
  931      9.99      7.82      44.24      33.04         -0.22   38.20   50.40   11.0     84.47    250.33
  932     12.74     13.25      46.94      32.41         -0.25   33.71   21.93    6.0    226.33   1689.56
  933     14.29     12.52      55.33      36.13          0.12   53.86   22.14   18.0    466.69   1886.79
  934     12.05      9.15      62.61      46.56          0.63   62.36   28.58   14.0    633.41   2568.67
  935     12.73     11.57      47.91      32.08         -1.36   70.67   45.00   15.0   -100.58    357.95
  936     13.08      7.49      44.82      28.43         -0.84   59.14   41.29    5.0     19.35    193.52
  937     11.17      5.87      59.74      29.97         -0.07   33.96   36.65    8.0   -338.49    397.68
  938     13.72     12.02      67.42      40.90          0.64   70.22   25.72   17.0    523.54   1974.06
  939     14.76     11.81      62.08      51.70         -0.64   78.50   51.50   12.0     41.79    201.84
  940     16.59     13.68      56.11      37.03          0.22   69.67   62.62   19.0    255.47   1369.51
  941      8.26      7.57      57.19      39.10          0.38   67.14   45.57    5.0     42.36     11.23
  942     12.01      9.86      51.04      33.19          0.57   66.25   47.77    8.0     24.92    301.58
